,simplified,tags
1688,活泛劲儿,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1692,住室,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1693,房管局,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1700,发狠,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1704,柔声柔气,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1716,危旧房,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1722,文物局,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1724,政协委员,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1725,人大代表,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1730,乐得,"['NPCR', 'NPCR.6', 'NPCR.6.70', 'STATUS.Unique']"
1741,车上,"['HSK-v2021', 'HSK3.1', 'STATUS.Unique']"
1792,请坐,"['HSK-v2021', 'HSK3.1', 'STATUS.Unique']"
1821,真的,"['HSK-v2021', 'HSK3.1', 'STATUS.Unique']"
1834,不太,"['HSK-v2021', 'HSK3.2', 'STATUS.Unique']"
1839,不一会儿,"['HSK-v2021', 'HSK3.2', 'STATUS.Unique']"
1887,见过,"['HSK-v2021', 'HSK3.2', 'STATUS.Unique']"
1944,送到,"['HSK-v2021', 'HSK3.2', 'STATUS.Unique']"
1966,笑话儿,"['HSK-v2021', 'HSK3.2', 'STATUS.Unique']"
1983,有空儿,"['HSK-v2021', 'HSK3.2', 'STATUS.Unique']"
1997,这时候,"['HSK-v2021', 'HSK3.2', 'STATUS.Unique']"
2042,放到,"['HSK-v2021', 'HSK3.3', 'STATUS.Unique']"
2069,…极了,"['HSK-v2021', 'HSK3.3', 'STATUS.Unique']"
2108,能不能,"['HSK-v2021', 'HSK3.3', 'STATUS.Unique']"
2244,电动车,"['HSK-v2021', 'HSK3.4', 'STATUS.Unique']"
2311,没法儿,"['HSK-v2021', 'HSK3.4', 'STATUS.Unique']"
2317,名牌儿,"['HSK-v2021', 'HSK3.4', 'STATUS.Unique']"
2389,眼里,"['HSK-v2021', 'HSK3.4', 'STATUS.Unique']"
2396,有劲儿,"['HSK-v2021', 'HSK3.4', 'STATUS.Unique']"
2441,城里,"['HSK-v2021', 'HSK3.5', 'STATUS.Unique']"
2507,胡同儿,"['HSK-v2021', 'HSK3.5', 'STATUS.Unique']"
2656,小偷儿,"['HSK-v2021', 'HSK3.5', 'STATUS.Unique']"
2937,很难说,"['HSK-v2021', 'HSK3.6', 'STATUS.Unique']"
3268,一番,"['HSK-v2021', 'HSK3.6', 'STATUS.Unique']"
3336,指着,"['HSK-v2021', 'HSK3.6', 'STATUS.Unique']"
3516,不利于,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
3536,不肯,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
3539,不难,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
3543,不如说,"['HSK-v2021', 'HSK3.7-9', 'STATUS.Unique']"
